taxon_id,name,obs_count
132711,Hypericum punctatum,80
163087,Froelichia gracilis,80
54773,Viburnum lentago,79
54789,Carya glabra,79
60146,Pluchea odorata,79
67775,Claytonia caroliniana,79
129315,Ceanothus americanus,79
204156,Hylodesmum glutinosum,79
120179,Doellingeria umbellata,78
128839,Lobelia spicata,78
130174,Danthonia spicata,78
54767,Toxicodendron vernix,77
63749,Vaccinium macrocarpon,77
157903,Acalypha rhomboidea,77
76025,Carex comosa,76
119827,Aralia racemosa,76
120403,Tridens flavus,76
170204,Viburnum recognitum,76
402509,Pilosella officinarum,76
933404,Centaurea cyanus,76
51712,Bidens frondosa,75
76584,Cyperus esculentus,75
119809,Lonicera sempervirens,75
142730,Hieracium scabrum,75
474366,Humulus scandens,75
54520,Tanacetum parthenium,74
55730,Spergularia rubra,74
1138520,Pseudanomodon attenuatus,74
122101,Diphasiastrum tristachyum,73
1614093,Chelidonium diphyllum,73
54785,Quercus palustris,72
78084,Mirabilis nyctaginea,72
84113,Helianthus divaricatus,72
128798,Aronia melanocarpa,72
129491,Carex platyphylla,72
53039,Pogonia ophioglossoides,71
78453,Persicaria hydropiperoides,71
81605,Yucca filamentosa,71
82313,Carex stricta,71
130176,Chondrus crispus,71
142279,Symphyotrichum pilosum,71
1569019,Senega sanguinea,71
75475,Anthoxanthum odoratum,70
82247,Viburnum dentatum,70
122085,Sceptridium dissectum,70
125727,Panicum virgatum,70
130900,Menispermum canadense,70
127196,Myosotis stricta,69
62588,Hypericum mutilum,68
52500,Platanthera clavellata,67
77349,Helenium autumnale,67
119807,Lonicera canadensis,67
129196,Rosa carolina,67
168856,Sericocarpus asteroides,67
170140,Verbascum phlomoides,67
52344,Ipomoea purpurea,66
122658,Leucobryum glaucum,66
61935,Scleranthus annuus,65
78616,Plantago aristata,65
121968,Andropogon gerardi,65
128931,Vitis aestivalis,65
141854,Urtica gracilis,65
53269,Sonchus asper,64
60265,Asparagus officinalis,64
122608,Sorghastrum nutans,64
1038574,Borodinia laevigata,64
53268,Maianthemum stellatum,63
58721,Larix laricina,63
75916,Buddleja davidii,63
123625,Digitalis grandiflora,63
204185,Nabalus trifoliolatus,63
54857,Celtis occidentalis,62
69930,Juncus tenuis,62
78930,Salicornia depressa,62
84114,Helenium flexuosum,62
156531,Proserpinaca palustris,61
53104,Hypochaeris radicata,60
117429,Betula nigra,60
145483,Symphyotrichum tenuifolium,60
169483,Symphyotrichum racemosum,60
773660,Salix atrocinerea,60
55809,Leucojum aestivum,59
61253,Lilium philadelphicum,59
77779,Lindernia dubia,59
79131,Sium suave,59
81599,Silphium perfoliatum,59
129689,Angelica atropurpurea,59
143558,Kummerowia striata,59
711086,Pilosella caespitosa,59
49192,Castanea mollissima,58
60997,Ceratophyllum demersum,58
81748,Thalictrum dioicum,58
85008,Lilium superbum,58
136376,Rudbeckia triloba,58
204197,Dendrolycopodium hickeyi,58
914942,Persicaria filiformis,58
55828,Lamium maculatum,57
126516,Viola rostrata,57
164133,Iris sanguinea,57
169474,Symphyotrichum novi-belgii,57
881527,Anemonastrum canadense,57
54780,Quercus bicolor,56
54833,Prunus pensylvanica,56
76606,Dasiphora fruticosa,56
84031,Hylotelephium telephium,56
119791,Acer pseudoplatanus,56
130377,Solidago nemoralis,56
141767,Veronicastrum virginicum,56
165493,Moehringia lateriflora,56
320160,Cornus racemosa,56
55825,Veronica filiformis,55
56325,Asarum canadense,55
58372,Distichlis spicata,55
67524,Polemonium reptans,55
75855,Botrypus virginianus,55
76647,Dianthus deltoides,55
79465,Utricularia macrorhiza,55
128768,Physalis heterophylla,55
164463,Lechea mucronata,55
54844,Salix discolor,54
68293,Polytrichum commune,54
78157,Myriophyllum spicatum,54
130887,Selaginella apoda,54
711103,Pilosella aurantiaca,54
57867,Spirodela polyrhiza,53
127891,Packera obovata,53
773004,Sporobolus pumilus,53
50298,Fragaria vesca,52
78450,Persicaria amphibia,52
81528,Lupinus perennis,52
82307,Symphyotrichum puniceum,52
82740,Lathyrus sylvestris,52
130367,Osmorhiza claytonii,52
143409,Rhododendron prinophyllum,52
163098,Frullania eboracensis,52
166162,Parthenocissus tricuspidata,52
166636,Phellodendron amurense,52
791928,Lysimachia arvensis,52
58382,Poa bulbosa,51
58762,Cystopteris tenuis,51
59778,Pastinaca sativa,51
75377,Alnus incana,51
126641,Allium canadense,51
1617172,Anatherum virginicum,51
55402,Trillium grandiflorum,50
55727,Cymbalaria muralis,50
78455,Persicaria pensylvanica,50
130988,Bidens connata,50
136373,Senna hebecarpa,50
540959,Viola palmata,50
52793,Holcus lanatus,49
56064,Ranunculus acris,49
56871,Eranthis hyemalis,49
67423,Ulva lactuca,49
126485,Calycanthus floridus,49
126637,Hyacinthus orientalis,49
130369,Cicuta bulbifera,49
204152,Eubotrys racemosus,49
1467430,Viola pubescens,49
56033,Alnus serrulata,48
75921,Cabomba caroliniana,48
79148,Solidago altissima,48
83902,Baptisia australis,48
84298,Aesculus hippocastanum,48
126655,Eurybia macrophylla,48
147976,Helianthus decapetalus,48
159954,Carex folliculata,48
164948,Luzula multiflora,48
170089,Utricularia purpurea,48
48622,Nepeta cataria,47
48651,Cosmos sulphureus,47
56455,Pallavicinia lyellii,47
62398,Gratiola aurea,47
75765,Bidens cernua,47
154563,Polygonella articulata,47
905640,Campanula intercedens,47
77663,Lepidium campestre,46
82578,Calopogon tuberosus,46
84790,Magnolia tripetala,46
130951,Nabalus altissimus,46
157642,Houttuynia cordata,45
162409,Eragrostis spectabilis,45
204366,Nipponanthemum nipponicum,45
54847,Salix nigra,44
55760,Viola arvensis,44
75758,Berberis vulgaris,44
133240,Ilex crenata,44
141623,Platycodon grandiflorus,44
155773,Trichocolea tomentella,44
1405994,Viburnum cassinoides,44
47192,Cornus canadensis,43
68052,Carex vulpinoidea,43
76114,Carex stipata,43
118731,Woodwardia areolata,43
122082,Phegopteris connectilis,43
130810,Symphyotrichum patens,43
130901,Cinna arundinacea,43
430124,Stellaria aquatica,43
1392347,Viola minuscula,43
47443,Albizia julibrissin,42
