species,status,is_weed,cipwg_category,source,hazard
Artemisia vulgaris,invasive,true,invasive,CIPWG 2024 (CGS 22a-381d),
Arum italicum,introduced,false,,iNaturalist establishment_means (CT),
Aruncus dioicus,introduced,false,,iNaturalist establishment_means (CT),
Asarum europaeum,introduced,false,,iNaturalist establishment_means (CT),
Asclepias curassavica,introduced,false,,iNaturalist establishment_means (CT),
Asclepias syriaca,native,false,,iNaturalist establishment_means (CT),
Asclepias tuberosa,native,false,,iNaturalist establishment_means (CT),
Asparagus aethiopicus,introduced,false,,iNaturalist establishment_means (CT),
Asparagus officinalis,introduced,false,,iNaturalist establishment_means (CT),
Aster tataricus,introduced,false,,iNaturalist establishment_means (CT),
Astilbe chinensis,ornamental,false,,iNat cultivated scope (WS-B),
Astrantia major,introduced,false,,iNaturalist establishment_means (CT),
Athyrium angustum,native,false,,iNaturalist establishment_means (CT),
Athyrium niponicum,introduced,false,,iNaturalist establishment_means (CT),
Atocion armeria,introduced,false,,iNaturalist establishment_means (CT),
Atriplex prostrata,introduced,false,,iNaturalist establishment_means (CT),
Aucuba japonica,ornamental,false,,iNat cultivated scope (WS-B),
Bambusa vulgaris,introduced,false,,iNaturalist establishment_means (CT),
Barbarea verna,introduced,false,,iNaturalist establishment_means (CT),
Barbarea vulgaris,introduced,false,,iNaturalist establishment_means (CT),
Basella alba,introduced,false,,iNaturalist establishment_means (CT),
Bassia scoparia,invasive,true,potentially,CIPWG 2024 (CGS 22a-381d),
Begonia cucullata,ornamental,false,,iNat cultivated scope (WS-B),
Begonia grandis,introduced,false,,iNaturalist establishment_means (CT),
Bellis perennis,introduced,true,,common Eurasian-introduced weed,
Berberis bealei,introduced,false,,iNaturalist establishment_means (CT),
Berberis julianae,introduced,false,,iNaturalist establishment_means (CT),
Berberis thunbergii,invasive,true,invasive,CIPWG 2024 (CGS 22a-381d),
Berberis vulgaris,invasive,true,invasive,CIPWG 2024 (CGS 22a-381d),
Berteroa incana,introduced,false,,iNaturalist establishment_means (CT),
Beta vulgaris,ornamental,false,,iNat cultivated scope (WS-B),
Betula alleghaniensis,native,false,,iNaturalist establishment_means (CT),
Betula lenta,native,false,,iNaturalist establishment_means (CT),
Betula pendula,introduced,false,,iNaturalist establishment_means (CT),
Betula populifolia,native,false,,iNaturalist establishment_means (CT),
